#reqtime=1732320196.117,2024-11-23 00:03:16.117,UTC
#URL=http://hvointernal.wr.usgs.gov/valve3//valve3.jsp?&a=rawData&o=csv&tz=UTC&w=900&h=780&n=1&x.0=75&y.0=20&w.0=750&h.0=240&mh.0=900&chCnt.0=1&src.0=hvo_def_gps&st.0=20060101000000000&et.0=20241120235959999&lg.0=true&ch.0=320&dataTypes.0=1099.1151671689004&plotType.0=ts&rk.0=9&ds.0=None&dsInt.0=&sdt.0=&ct.0=2&bl.0=[none]&linetype.0=o&ysLMin.0=&ysLMax.0=&despike_period.0=&filter_arg1.0=&filter_arg2.0=&despike.0=F&detrend.0=F&dmo_fl.0=0&filter_arg3.0=&dmo_arithmetic.0=None&dmo_arithmetic_value.0=&dmo_db.0=1&debias_period.0=&east.0=T&north.0=T&up.0=T&length.0=F&v_hs.0=T&v_vs.0=F&v_se.0=T&displacementBeforeStartTime.0=&displacementBeforeEndTime.0=&displacementBeforeModel.0=m&displacementAfterStartTime.0=&displacementAfterEndTime.0=&displacementAfterModel.0=m&d_hs.0=T&d_vs.0=F&d_se.0=T&plotSeparately.0=true
#source=hvo_def_gps
#st= 189345600.000, et= 785419199.999, chCnt=1
Epoch,Date,BYRL_east,BYRL_north,BYRL_up
1140868800.000,2006-02-25 12:00:00,         0.451781,         0.269150,         0.422715
1140955200.000,2006-02-26 12:00:00,         0.450543,         0.270910,         0.409835
1141041600.000,2006-02-27 12:00:00,         0.451281,         0.272774,         0.404638
1141128000.000,2006-02-28 12:00:00,         0.452550,         0.273929,         0.402349
1141214400.000,2006-03-01 12:00:00,         0.450916,         0.273463,         0.396110
1141300800.000,2006-03-02 12:00:00,         0.452150,         0.274217,         0.403656
1141387200.000,2006-03-03 12:00:00,         0.452503,         0.275581,         0.397624
1141473600.000,2006-03-04 12:00:00,         0.454037,         0.278449,         0.402790
1141560000.000,2006-03-05 12:00:00,         0.453878,         0.279316,         0.412053
1141646400.000,2006-03-06 12:00:00,         0.454851,         0.280407,         0.418106
1141732800.000,2006-03-07 12:00:00,         0.455087,         0.280993,         0.414680
1141819200.000,2006-03-08 12:00:00,         0.452409,         0.278414,         0.411835
1141905600.000,2006-03-09 12:00:00,         0.454211,         0.278922,         0.419913
1141992000.000,2006-03-10 12:00:00,         0.452001,         0.279693,         0.414063
1142078400.000,2006-03-11 12:00:00,         0.453505,         0.282418,         0.409214
1142164800.000,2006-03-12 12:00:00,         0.447291,         0.280203,         0.409881
1142251200.000,2006-03-13 12:00:00,         0.444951,         0.279143,         0.401573
1142337600.000,2006-03-14 12:00:00,         0.444876,         0.280200,         0.408412
1142424000.000,2006-03-15 12:00:00,         0.448920,         0.282654,         0.420812
1142510400.000,2006-03-16 12:00:00,         0.449442,         0.282024,         0.420442
1142596800.000,2006-03-17 12:00:00,         0.452324,         0.280512,         0.422906
1142683200.000,2006-03-18 12:00:00,         0.449426,         0.288402,         0.415489
1142769600.000,2006-03-19 12:00:00,         0.449291,         0.281843,         0.424854
1142856000.000,2006-03-20 12:00:00,         0.450197,         0.280619,         0.416684
1142942400.000,2006-03-21 12:00:00,         0.455390,         0.279468,         0.420704
1143028800.000,2006-03-22 12:00:00,         0.452075,         0.282552,         0.420251
1143115200.000,2006-03-23 12:00:00,         0.449691,         0.280820,         0.420245
1143201600.000,2006-03-24 12:00:00,         0.447334,         0.279858,         0.412438
1143288000.000,2006-03-25 12:00:00,         0.452903,         0.280710,         0.423175
1143374400.000,2006-03-26 12:00:00,         0.449791,         0.285897,         0.424915
1143460800.000,2006-03-27 12:00:00,         0.450516,         0.282899,         0.420831
1143547200.000,2006-03-28 12:00:00,         0.452361,         0.281637,         0.415052
1143633600.000,2006-03-29 12:00:00,         0.454103,         0.285473,         0.415101
1143720000.000,2006-03-30 12:00:00,         0.453467,         0.284466,         0.429491
1143806400.000,2006-03-31 12:00:00,         0.456346,         0.287832,         0.430431
1143892800.000,2006-04-01 12:00:00,         0.455089,         0.287705,         0.433967
1143979200.000,2006-04-02 12:00:00,         0.456316,         0.287815,         0.425755
1144065600.000,2006-04-03 12:00:00,         0.456808,         0.286632,         0.401713
1144152000.000,2006-04-04 12:00:00,         0.453560,         0.287333,         0.414813
1144238400.000,2006-04-05 12:00:00,         0.453295,         0.286656,         0.409312
1144324800.000,2006-04-06 12:00:00,         0.453942,         0.286733,         0.416681
1144411200.000,2006-04-07 12:00:00,         0.450555,         0.286533,         0.417942
1144497600.000,2006-04-08 12:00:00,         0.448254,         0.286414,         0.439184
1144584000.000,2006-04-09 12:00:00,         0.450739,         0.285265,         0.416999
1144670400.000,2006-04-10 12:00:00,         0.454939,         0.290859,         0.423805
1144756800.000,2006-04-11 12:00:00,         0.450246,         0.287556,         0.406439
1144843200.000,2006-04-12 12:00:00,         0.447780,         0.286650,         0.412678
1144929600.000,2006-04-13 12:00:00,         0.449864,         0.285848,         0.427216
1145016000.000,2006-04-14 12:00:00,         0.451249,         0.284202,         0.423664
1145102400.000,2006-04-15 12:00:00,         0.451931,         0.287126,         0.403616
1145188800.000,2006-04-16 12:00:00,         0.452766,         0.287059,         0.418012
1145275200.000,2006-04-17 12:00:00,         0.452998,         0.287832,         0.417924
1145361600.000,2006-04-18 12:00:00,         0.453894,         0.288997,         0.421146
1145448000.000,2006-04-19 12:00:00,         0.455060,         0.288414,         0.421746
1145534400.000,2006-04-20 12:00:00,         0.453894,         0.287186,         0.426150
1145620800.000,2006-04-21 12:00:00,         0.455348,         0.289151,         0.414920
1145707200.000,2006-04-22 12:00:00,         0.457308,         0.292588,         0.426537
1145793600.000,2006-04-23 12:00:00,         0.457339,         0.289131,         0.434893
1145880000.000,2006-04-24 12:00:00,         0.457098,         0.288666,         0.419066
1145966400.000,2006-04-25 12:00:00,         0.458995,         0.289144,         0.414598
1146052800.000,2006-04-26 12:00:00,         0.454371,         0.289918,         0.420315
1146139200.000,2006-04-27 12:00:00,         0.451929,         0.287718,         0.423907
1146225600.000,2006-04-28 12:00:00,         0.454367,         0.289923,         0.424652
1146312000.000,2006-04-29 12:00:00,         0.461245,         0.291856,         0.428289
1146398400.000,2006-04-30 12:00:00,         0.456581,         0.287915,         0.437007
1146571200.000,2006-05-02 12:00:00,         0.458436,         0.287972,         0.447035
1146657600.000,2006-05-03 12:00:00,         0.459547,         0.289853,         0.434318
1146744000.000,2006-05-04 12:00:00,         0.461606,         0.289762,         0.433056
1146830400.000,2006-05-05 12:00:00,         0.454974,         0.289644,         0.431030
1146916800.000,2006-05-06 12:00:00,         0.458309,         0.290815,         0.434869
1147003200.000,2006-05-07 12:00:00,         0.457485,         0.289078,         0.430139
1147089600.000,2006-05-08 12:00:00,         0.457572,         0.290970,         0.413989
1147176000.000,2006-05-09 12:00:00,         0.451267,         0.289361,         0.421419
1147262400.000,2006-05-10 12:00:00,         0.454607,         0.288780,         0.420646
1147348800.000,2006-05-11 12:00:00,         0.457304,         0.290551,         0.418462
1147435200.000,2006-05-12 12:00:00,         0.455991,         0.291846,         0.424551
1147521600.000,2006-05-13 12:00:00,         0.456003,         0.291361,         0.420079
1147608000.000,2006-05-14 12:00:00,         0.456599,         0.289429,         0.435327
1147694400.000,2006-05-15 12:00:00,         0.452661,         0.289889,         0.416286
1147780800.000,2006-05-16 12:00:00,         0.450699,         0.288206,         0.443529
1147867200.000,2006-05-17 12:00:00,         0.453860,         0.288259,         0.443571
1147953600.000,2006-05-18 12:00:00,         0.457961,         0.290223,         0.427658
1148040000.000,2006-05-19 12:00:00,         0.456051,         0.289869,         0.426388
1148126400.000,2006-05-20 12:00:00,         0.457834,         0.293226,         0.425512
1148212800.000,2006-05-21 12:00:00,         0.459501,         0.292699,         0.423071
1148299200.000,2006-05-22 12:00:00,         0.458564,         0.292099,         0.430493
1148385600.000,2006-05-23 12:00:00,         0.459240,         0.293073,         0.423340
1148472000.000,2006-05-24 12:00:00,         0.461526,         0.294345,         0.427602
1148558400.000,2006-05-25 12:00:00,         0.459064,         0.289875,         0.438696
1148644800.000,2006-05-26 12:00:00,         0.458362,         0.291629,         0.427499
1148731200.000,2006-05-27 12:00:00,         0.463508,         0.291828,         0.417938
1148817600.000,2006-05-28 12:00:00,         0.461084,         0.291748,         0.420634
1148904000.000,2006-05-29 12:00:00,         0.464339,         0.292940,         0.434987
1148990400.000,2006-05-30 12:00:00,         0.459989,         0.294019,         0.427405
1149076800.000,2006-05-31 12:00:00,         0.463810,         0.297441,         0.431192
1149163200.000,2006-06-01 12:00:00,         0.462197,         0.293133,         0.422967
1149249600.000,2006-06-02 12:00:00,         0.463069,         0.293833,         0.428692
1149336000.000,2006-06-03 12:00:00,         0.458067,         0.293939,         0.424475
1149422400.000,2006-06-04 12:00:00,         0.458744,         0.293527,         0.427597
1149508800.000,2006-06-05 12:00:00,         0.457804,         0.294045,         0.422218
1149595200.000,2006-06-06 12:00:00,         0.461907,         0.295425,         0.426960
1149681600.000,2006-06-07 12:00:00,         0.460118,         0.292406,         0.422516
1149768000.000,2006-06-08 12:00:00,         0.464040,         0.292817,         0.431063
1149854400.000,2006-06-09 12:00:00,         0.463060,         0.294240,         0.431480
1149940800.000,2006-06-10 12:00:00,         0.464304,         0.296601,         0.426089
1150027200.000,2006-06-11 12:00:00,         0.463322,         0.292468,         0.439936
1150113600.000,2006-06-12 12:00:00,         0.464193,         0.291862,         0.427875
1150200000.000,2006-06-13 12:00:00,         0.464740,         0.295042,         0.432919
1150286400.000,2006-06-14 12:00:00,         0.461011,         0.292817,         0.442350
1150372800.000,2006-06-15 12:00:00,         0.467903,         0.295612,         0.446473
1150459200.000,2006-06-16 12:00:00,         0.466768,         0.292600,         0.435319
1150545600.000,2006-06-17 12:00:00,         0.465437,         0.298133,         0.422460
1150632000.000,2006-06-18 12:00:00,         0.466788,         0.301524,         0.431367
1150718400.000,2006-06-19 12:00:00,         0.465545,         0.298200,         0.437053
1150804800.000,2006-06-20 12:00:00,         0.466190,         0.297197,         0.433750
1150891200.000,2006-06-21 12:00:00,         0.463728,         0.296210,         0.431993
1150977600.000,2006-06-22 12:00:00,         0.462376,         0.297515,         0.446489
1151064000.000,2006-06-23 12:00:00,         0.463235,         0.298357,         0.438710
1151150400.000,2006-06-24 12:00:00,         0.466753,         0.296174,         0.435125
1151236800.000,2006-06-25 12:00:00,         0.465972,         0.296065,         0.443065
1151323200.000,2006-06-26 12:00:00,         0.465594,         0.295905,         0.433147
1151409600.000,2006-06-27 12:00:00,         0.466456,         0.298905,         0.433981
1151496000.000,2006-06-28 12:00:00,         0.463508,         0.300026,         0.433428
1151582400.000,2006-06-29 12:00:00,         0.461323,         0.300646,         0.434296
1151668800.000,2006-06-30 12:00:00,         0.464816,         0.302091,         0.430108
1151755200.000,2006-07-01 12:00:00,         0.464195,         0.302087,         0.438461
1151841600.000,2006-07-02 12:00:00,         0.465421,         0.303645,         0.427693
1151928000.000,2006-07-03 12:00:00,         0.463767,         0.303675,         0.429574
1152014400.000,2006-07-04 12:00:00,         0.463416,         0.300949,         0.429452
1152100800.000,2006-07-05 12:00:00,         0.464439,         0.300070,         0.429488
1152187200.000,2006-07-06 12:00:00,         0.461330,         0.298949,         0.438612
1152273600.000,2006-07-07 12:00:00,         0.459926,         0.297427,         0.433131
1152360000.000,2006-07-08 12:00:00,         0.464233,         0.297066,         0.438628
1152446400.000,2006-07-09 12:00:00,         0.462303,         0.296629,         0.435769
1152532800.000,2006-07-10 12:00:00,         0.465888,         0.298343,         0.454470
1152619200.000,2006-07-11 12:00:00,         0.469360,         0.300706,         0.453846
1152705600.000,2006-07-12 12:00:00,         0.461890,         0.299530,         0.441621
1152792000.000,2006-07-13 12:00:00,         0.464478,         0.303425,         0.446811
1152878400.000,2006-07-14 12:00:00,         0.465170,         0.304413,         0.446175
1152964800.000,2006-07-15 12:00:00,         0.468783,         0.304093,         0.434933
1153051200.000,2006-07-16 12:00:00,         0.462969,         0.301240,         0.434574
1153137600.000,2006-07-17 12:00:00,         0.463192,         0.300885,         0.439343
1153224000.000,2006-07-18 12:00:00,         0.466226,         0.300303,         0.441335
1153310400.000,2006-07-19 12:00:00,         0.466012,         0.302566,         0.442059
1153396800.000,2006-07-20 12:00:00,         0.468078,         0.305417,         0.431410
1153483200.000,2006-07-21 12:00:00,         0.465897,         0.300528,         0.439359
1153569600.000,2006-07-22 12:00:00,         0.465233,         0.299526,         0.439075
1153656000.000,2006-07-23 12:00:00,         0.467783,         0.301026,         0.433988
1153742400.000,2006-07-24 12:00:00,         0.469015,         0.302300,         0.443584
1153828800.000,2006-07-25 12:00:00,         0.467439,         0.304242,         0.437287
1153915200.000,2006-07-26 12:00:00,         0.463522,         0.305087,         0.432467
1154001600.000,2006-07-27 12:00:00,         0.463591,         0.304199,         0.430093
1154088000.000,2006-07-28 12:00:00,         0.467284,         0.302097,         0.444410
1154174400.000,2006-07-29 12:00:00,         0.468739,         0.302228,         0.450911
1154260800.000,2006-07-30 12:00:00,         0.467098,         0.305272,         0.448818
1154347200.000,2006-07-31 12:00:00,         0.467612,         0.305388,         0.445708
1154433600.000,2006-08-01 12:00:00,         0.467695,         0.302777,         0.442762
1154520000.000,2006-08-02 12:00:00,         0.470616,         0.304121,         0.452752
1154606400.000,2006-08-03 12:00:00,         0.471972,         0.307145,         0.450041
1154692800.000,2006-08-04 12:00:00,         0.469753,         0.307708,         0.460479
1154779200.000,2006-08-05 12:00:00,         0.472466,         0.304438,         0.453698
1154865600.000,2006-08-06 12:00:00,         0.472484,         0.311415,         0.442036
1154952000.000,2006-08-07 12:00:00,         0.473179,         0.305727,         0.443240
1155038400.000,2006-08-08 12:00:00,         0.470553,         0.309563,         0.445239
1155124800.000,2006-08-09 12:00:00,         0.471870,         0.310779,         0.442883
1155211200.000,2006-08-10 12:00:00,         0.472019,         0.311915,         0.437302
1155297600.000,2006-08-11 12:00:00,         0.468893,         0.308145,         0.439141
1155384000.000,2006-08-12 12:00:00,         0.470242,         0.310958,         0.446072
1155470400.000,2006-08-13 12:00:00,         0.469310,         0.309013,         0.452685
1155556800.000,2006-08-14 12:00:00,         0.472376,         0.309349,         0.453948
1155643200.000,2006-08-15 12:00:00,         0.471872,         0.310161,         0.451911
1155729600.000,2006-08-16 12:00:00,         0.469310,         0.311649,         0.443179
1155816000.000,2006-08-17 12:00:00,         0.468723,         0.309445,         0.457048
1155902400.000,2006-08-18 12:00:00,         0.469624,         0.307675,         0.441625
1155988800.000,2006-08-19 12:00:00,         0.466162,         0.307628,         0.453513
1156075200.000,2006-08-20 12:00:00,         0.464936,         0.307439,         0.432009
1156161600.000,2006-08-21 12:00:00,         0.468696,         0.308189,         0.450895
1156248000.000,2006-08-22 12:00:00,         0.469135,         0.307228,         0.447797
1156334400.000,2006-08-23 12:00:00,         0.470246,         0.309571,         0.443583
1156420800.000,2006-08-24 12:00:00,         0.470083,         0.308622,         0.443490
1156507200.000,2006-08-25 12:00:00,         0.467322,         0.306110,         0.445406
1156593600.000,2006-08-26 12:00:00,         0.469328,         0.311130,         0.441224
1156680000.000,2006-08-27 12:00:00,         0.470327,         0.307896,         0.451973
1156766400.000,2006-08-28 12:00:00,         0.471963,         0.309576,         0.451731
1156852800.000,2006-08-29 12:00:00,         0.466381,         0.311933,         0.436895
1156939200.000,2006-08-30 12:00:00,         0.469368,         0.311735,         0.455761
1157025600.000,2006-08-31 12:00:00,         0.468923,         0.306836,         0.440812
1157112000.000,2006-09-01 12:00:00,         0.468803,         0.308308,         0.441339
1157198400.000,2006-09-02 12:00:00,         0.469562,         0.309364,         0.432932
1157284800.000,2006-09-03 12:00:00,         0.465897,         0.307334,         0.453959
1157371200.000,2006-09-04 12:00:00,         0.468347,         0.310641,         0.434061
1157457600.000,2006-09-05 12:00:00,         0.472456,         0.310488,         0.439774
1157544000.000,2006-09-06 12:00:00,         0.468980,         0.310338,         0.442344
1157630400.000,2006-09-07 12:00:00,         0.474726,         0.308959,         0.445393
1157716800.000,2006-09-08 12:00:00,         0.474399,         0.309165,         0.458936
1157803200.000,2006-09-09 12:00:00,         0.468308,         0.311849,         0.460859
1157889600.000,2006-09-10 12:00:00,         0.471967,         0.311112,         0.453546
1157976000.000,2006-09-11 12:00:00,         0.473475,         0.313592,         0.450887
1158062400.000,2006-09-12 12:00:00,         0.475927,         0.312877,         0.459581
1158148800.000,2006-09-13 12:00:00,         0.472438,         0.311008,         0.444610
1158235200.000,2006-09-14 12:00:00,         0.472502,         0.311473,         0.455488
1158321600.000,2006-09-15 12:00:00,         0.471598,         0.313220,         0.454983
1158408000.000,2006-09-16 12:00:00,         0.473672,         0.311795,         0.458036
1158494400.000,2006-09-17 12:00:00,         0.473538,         0.313340,         0.442299
1158580800.000,2006-09-18 12:00:00,         0.471916,         0.312082,         0.445206
1158667200.000,2006-09-19 12:00:00,         0.469909,         0.310668,         0.449048
1158753600.000,2006-09-20 12:00:00,         0.472337,         0.312631,         0.452180
1158840000.000,2006-09-21 12:00:00,         0.473804,         0.312634,         0.438921
1158926400.000,2006-09-22 12:00:00,         0.473001,         0.315598,         0.453728
1159012800.000,2006-09-23 12:00:00,         0.474008,         0.315616,         0.453836
1159099200.000,2006-09-24 12:00:00,         0.474731,         0.314104,         0.463472
1159185600.000,2006-09-25 12:00:00,         0.472795,         0.313966,         0.466513
1159272000.000,2006-09-26 12:00:00,         0.477239,         0.314602,         0.444235
1159358400.000,2006-09-27 12:00:00,         0.473487,         0.313940,         0.451931
1159444800.000,2006-09-28 12:00:00,         0.478608,         0.317441,         0.448340
1159531200.000,2006-09-29 12:00:00,         0.474616,         0.313329,         0.451540
1159617600.000,2006-09-30 12:00:00,         0.475379,         0.315828,         0.444405
1159704000.000,2006-10-01 12:00:00,         0.473516,         0.313686,         0.453738
1159790400.000,2006-10-02 12:00:00,         0.474200,         0.313497,         0.453666
1159876800.000,2006-10-03 12:00:00,         0.475068,         0.316564,         0.446644
1159963200.000,2006-10-04 12:00:00,         0.473019,         0.317758,         0.450243
1160049600.000,2006-10-05 12:00:00,         0.474893,         0.316709,         0.457109
1160136000.000,2006-10-06 12:00:00,         0.475586,         0.316567,         0.453297
1160222400.000,2006-10-07 12:00:00,         0.474249,         0.314374,         0.473060
1160308800.000,2006-10-08 12:00:00,         0.473902,         0.315722,         0.473422
1160395200.000,2006-10-09 12:00:00,         0.473154,         0.317546,         0.470936
1160481600.000,2006-10-10 12:00:00,         0.473224,         0.318230,         0.480694
1160568000.000,2006-10-11 12:00:00,         0.471524,         0.312985,         0.448376
1160654400.000,2006-10-12 12:00:00,         0.472541,         0.314595,         0.452630
1160740800.000,2006-10-13 12:00:00,         0.474443,         0.314141,         0.463859
1160827200.000,2006-10-14 12:00:00,         0.476517,         0.315039,         0.446369
1160913600.000,2006-10-15 12:00:00,         0.472476,         0.311802,         0.460733
1161000000.000,2006-10-16 12:00:00,         0.471802,         0.310373,         0.453582
1161086400.000,2006-10-17 12:00:00,         0.457840,         0.317142,         0.442583
1161172800.000,2006-10-18 12:00:00,         0.467284,         0.313250,         0.455108
1161259200.000,2006-10-19 12:00:00,         0.469361,         0.314486,         0.463841
1161345600.000,2006-10-20 12:00:00,         0.470816,         0.318907,         0.473259
1161432000.000,2006-10-21 12:00:00,         0.473534,         0.317151,         0.465818
1161518400.000,2006-10-22 12:00:00,         0.471331,         0.316294,         0.451220
1161604800.000,2006-10-23 12:00:00,         0.474590,         0.316836,         0.459049
1161691200.000,2006-10-24 12:00:00,         0.469063,         0.313256,         0.447778
1161777600.000,2006-10-25 12:00:00,         0.467428,         0.312937,         0.458395
1161864000.000,2006-10-26 12:00:00,         0.470890,         0.315966,         0.451554
1161950400.000,2006-10-27 12:00:00,         0.472045,         0.315536,         0.479425
1162036800.000,2006-10-28 12:00:00,         0.470868,         0.313698,         0.458866
1162123200.000,2006-10-29 12:00:00,         0.467783,         0.315020,         0.462052
1162209600.000,2006-10-30 12:00:00,         0.467477,         0.315476,         0.467789
1162296000.000,2006-10-31 12:00:00,         0.467313,         0.316392,         0.452965
1162382400.000,2006-11-01 12:00:00,         0.471328,         0.312097,         0.469789
1162555200.000,2006-11-03 12:00:00,         0.467577,         0.313589,         0.455895
1162728000.000,2006-11-05 12:00:00,         0.468029,         0.315003,         0.462287
1162814400.000,2006-11-06 12:00:00,         0.470018,         0.315305,         0.459702
1162900800.000,2006-11-07 12:00:00,         0.470167,         0.313637,         0.456172
1162987200.000,2006-11-08 12:00:00,         0.460464,         0.314240,         0.452234
1163073600.000,2006-11-09 12:00:00,         0.469440,         0.313936,         0.455175
1163160000.000,2006-11-10 12:00:00,         0.471163,         0.314783,         0.456501
1163246400.000,2006-11-11 12:00:00,         0.475456,         0.317150,         0.451426
1163332800.000,2006-11-12 12:00:00,         0.472728,         0.314965,         0.466879
1163419200.000,2006-11-13 12:00:00,         0.470739,         0.316297,         0.461705
1163505600.000,2006-11-14 12:00:00,         0.469502,         0.312118,         0.464862
1163592000.000,2006-11-15 12:00:00,         0.466473,         0.316719,         0.455281
1163678400.000,2006-11-16 12:00:00,         0.466896,         0.316912,         0.452243
1163764800.000,2006-11-17 12:00:00,         0.469597,         0.315342,         0.458176
1163851200.000,2006-11-18 12:00:00,         0.470995,         0.311711,         0.462311
1163937600.000,2006-11-19 12:00:00,         0.465821,         0.312726,         0.462016
1164024000.000,2006-11-20 12:00:00,         0.471635,         0.315603,         0.444039
1164110400.000,2006-11-21 12:00:00,         0.469367,         0.312499,         0.456832
1164196800.000,2006-11-22 12:00:00,         0.470554,         0.313348,         0.453105
1164283200.000,2006-11-23 12:00:00,         0.470011,         0.315221,         0.464429
1164456000.000,2006-11-25 12:00:00,         0.470685,         0.311232,         0.457980
1164542400.000,2006-11-26 12:00:00,         0.469002,         0.313303,         0.454526
1164628800.000,2006-11-27 12:00:00,         0.468732,         0.316288,         0.451904
1164801600.000,2006-11-29 12:00:00,         0.469926,         0.311781,         0.459922
1164888000.000,2006-11-30 12:00:00,         0.471386,         0.310657,         0.452389
1164974400.000,2006-12-01 12:00:00,         0.470548,         0.315534,         0.459866
1165060800.000,2006-12-02 12:00:00,         0.468829,         0.316721,         0.465837
1165147200.000,2006-12-03 12:00:00,         0.467771,         0.314382,         0.456292
1165233600.000,2006-12-04 12:00:00,         0.468407,         0.314421,         0.458482
1165320000.000,2006-12-05 12:00:00,         0.467907,         0.313040,         0.457603
1165406400.000,2006-12-06 12:00:00,         0.469577,         0.313319,         0.457999
1165492800.000,2006-12-07 12:00:00,         0.467590,         0.313642,         0.454911
1165579200.000,2006-12-08 12:00:00,         0.463866,         0.314369,         0.455972
1165665600.000,2006-12-09 12:00:00,         0.466809,         0.315717,         0.459925
1165752000.000,2006-12-10 12:00:00,         0.470057,         0.314761,         0.459681
1165838400.000,2006-12-11 12:00:00,         0.471727,         0.317603,         0.459286
1165924800.000,2006-12-12 12:00:00,         0.471816,         0.316948,         0.455461
1166011200.000,2006-12-13 12:00:00,         0.470721,         0.317265,         0.464281
1166097600.000,2006-12-14 12:00:00,         0.469718,         0.315695,         0.458563
1166184000.000,2006-12-15 12:00:00,         0.467120,         0.315550,         0.452605
1166270400.000,2006-12-16 12:00:00,         0.467610,         0.312997,         0.461589
1166356800.000,2006-12-17 12:00:00,         0.467924,         0.311000,         0.460893
1166443200.000,2006-12-18 12:00:00,         0.467923,         0.314044,         0.459231
1166529600.000,2006-12-19 12:00:00,         0.468457,         0.315606,         0.457576
1166616000.000,2006-12-20 12:00:00,         0.469186,         0.315116,         0.455688
1166702400.000,2006-12-21 12:00:00,         0.469032,         0.313204,         0.464979
1166788800.000,2006-12-22 12:00:00,         0.469725,         0.311899,         0.460793
1166875200.000,2006-12-23 12:00:00,         0.467297,         0.312197,         0.465538
1166961600.000,2006-12-24 12:00:00,         0.469336,         0.312257,         0.452595
1167048000.000,2006-12-25 12:00:00,         0.472409,         0.312838,         0.466525
1167134400.000,2006-12-26 12:00:00,         0.470864,         0.315871,         0.462627
1167220800.000,2006-12-27 12:00:00,         0.468471,         0.317949,         0.458142
1167307200.000,2006-12-28 12:00:00,         0.467907,         0.313768,         0.453763
1167393600.000,2006-12-29 12:00:00,         0.467198,         0.312797,         0.458442
1167480000.000,2006-12-30 12:00:00,         0.471596,         0.316366,         0.461434
1167652800.000,2007-01-01 12:00:00,         0.469300,         0.312718,         0.459654
1167739200.000,2007-01-02 12:00:00,         0.472233,         0.311756,         0.460400
1167825600.000,2007-01-03 12:00:00,         0.470875,         0.312022,         0.450396
1167912000.000,2007-01-04 12:00:00,         0.469305,         0.314358,         0.458694
1167998400.000,2007-01-05 12:00:00,         0.467206,         0.314876,         0.471436
1168084800.000,2007-01-06 12:00:00,         0.469020,         0.311643,         0.461962
1168171200.000,2007-01-07 12:00:00,         0.472676,         0.311102,         0.460714
1168257600.000,2007-01-08 12:00:00,         0.470179,         0.310528,         0.457297
1168344000.000,2007-01-09 12:00:00,         0.467743,         0.313021,         0.455203
1168430400.000,2007-01-10 12:00:00,         0.468442,         0.315139,         0.458666
1168516800.000,2007-01-11 12:00:00,         0.469516,         0.314032,         0.451367
1168603200.000,2007-01-12 12:00:00,         0.463981,         0.312694,         0.455075
1168689600.000,2007-01-13 12:00:00,         0.460554,         0.309733,         0.456940
1168776000.000,2007-01-14 12:00:00,         0.466393,         0.313699,         0.452975
1168862400.000,2007-01-15 12:00:00,         0.467599,         0.313394,         0.454490
1168948800.000,2007-01-16 12:00:00,         0.466537,         0.313462,         0.453874
1169035200.000,2007-01-17 12:00:00,         0.468119,         0.312916,         0.453050
1169121600.000,2007-01-18 12:00:00,         0.466169,         0.311687,         0.458475
1169208000.000,2007-01-19 12:00:00,         0.467302,         0.313585,         0.452072
1169294400.000,2007-01-20 12:00:00,         0.468273,         0.313525,         0.463582
1169380800.000,2007-01-21 12:00:00,         0.466844,         0.313834,         0.461454
1169467200.000,2007-01-22 12:00:00,         0.467354,         0.313630,         0.462156
1169553600.000,2007-01-23 12:00:00,         0.467186,         0.314449,         0.460217
1169640000.000,2007-01-24 12:00:00,         0.471909,         0.315838,         0.457218
1169726400.000,2007-01-25 12:00:00,         0.467113,         0.313496,         0.462392
1169812800.000,2007-01-26 12:00:00,         0.468300,         0.314004,         0.466683
1169899200.000,2007-01-27 12:00:00,         0.468200,         0.313716,         0.460159
1169985600.000,2007-01-28 12:00:00,         0.469031,         0.313228,         0.464105
1170072000.000,2007-01-29 12:00:00,         0.468009,         0.310685,         0.465556
1170158400.000,2007-01-30 12:00:00,         0.468911,         0.312075,         0.454794
1170244800.000,2007-01-31 12:00:00,         0.467856,         0.313041,         0.443254
1170331200.000,2007-02-01 12:00:00,         0.465963,         0.309843,         0.444332
1170417600.000,2007-02-02 12:00:00,         0.464757,         0.310914,         0.449026
1170590400.000,2007-02-04 12:00:00,         0.467694,         0.313706,         0.466121
1170676800.000,2007-02-05 12:00:00,         0.468743,         0.313275,         0.465875
1170763200.000,2007-02-06 12:00:00,         0.469101,         0.314078,         0.460331
1170849600.000,2007-02-07 12:00:00,         0.466772,         0.313882,         0.467319
1170936000.000,2007-02-08 12:00:00,         0.466749,         0.309934,         0.462246
1171022400.000,2007-02-09 12:00:00,         0.473938,         0.312473,         0.473314
1171108800.000,2007-02-10 12:00:00,         0.471739,         0.311558,         0.465740
1171195200.000,2007-02-11 12:00:00,         0.468643,         0.313655,         0.465738
1171281600.000,2007-02-12 12:00:00,         0.467145,         0.312908,         0.465717
1171368000.000,2007-02-13 12:00:00,         0.467547,         0.313285,         0.457922
1171454400.000,2007-02-14 12:00:00,         0.467116,         0.313085,         0.457686
1171540800.000,2007-02-15 12:00:00,         0.470039,         0.314654,         0.464713
1171627200.000,2007-02-16 12:00:00,         0.469204,         0.311938,         0.460953
1171713600.000,2007-02-17 12:00:00,         0.471699,         0.315622,         0.471983
