#reqtime=1732320377.833,2024-11-23 00:06:17.833,UTC
#URL=http://hvointernal.wr.usgs.gov/valve3//valve3.jsp?&a=rawData&o=csv&tz=UTC&w=900&h=780&n=1&x.0=75&y.0=20&w.0=750&h.0=240&mh.0=900&chCnt.0=1&src.0=hvo_def_gps&st.0=20060101000000000&et.0=20241120235959999&lg.0=true&ch.0=423&dataTypes.0=1103.2212610756978&plotType.0=ts&rk.0=9&ds.0=None&dsInt.0=&sdt.0=&ct.0=2&bl.0=[none]&linetype.0=o&ysLMin.0=&ysLMax.0=&despike_period.0=&filter_arg1.0=&filter_arg2.0=&despike.0=F&detrend.0=F&dmo_fl.0=0&filter_arg3.0=&dmo_arithmetic.0=None&dmo_arithmetic_value.0=&dmo_db.0=1&debias_period.0=&east.0=T&north.0=T&up.0=T&length.0=F&v_hs.0=T&v_vs.0=F&v_se.0=T&displacementBeforeStartTime.0=&displacementBeforeEndTime.0=&displacementBeforeModel.0=m&displacementAfterStartTime.0=&displacementAfterEndTime.0=&displacementAfterModel.0=m&d_hs.0=T&d_vs.0=F&d_se.0=T&plotSeparately.0=true
#source=hvo_def_gps
#st= 189345600.000, et= 785419199.999, chCnt=1
Epoch,Date,PUHI_east,PUHI_north,PUHI_up
1431691200.000,2015-05-15 12:00:00,        -0.020448,         0.192870,         0.341743
1431777600.000,2015-05-16 12:00:00,        -0.013664,         0.195909,         0.355185
1431864000.000,2015-05-17 12:00:00,        -0.012421,         0.193030,         0.349935
1431950400.000,2015-05-18 12:00:00,        -0.010324,         0.195144,         0.350627
1432036800.000,2015-05-19 12:00:00,        -0.006312,         0.197911,         0.351707
1432123200.000,2015-05-20 12:00:00,        -0.007021,         0.197078,         0.350974
1432209600.000,2015-05-21 12:00:00,        -0.003447,         0.195973,         0.355197
1432296000.000,2015-05-22 12:00:00,        -0.001409,         0.195364,         0.355628
1432382400.000,2015-05-23 12:00:00,        -0.003938,         0.195259,         0.361247
1432468800.000,2015-05-24 12:00:00,        -0.004288,         0.196007,         0.369714
1432555200.000,2015-05-25 12:00:00,        -0.004127,         0.194240,         0.369690
1432641600.000,2015-05-26 12:00:00,        -0.003309,         0.194081,         0.350068
1432728000.000,2015-05-27 12:00:00,        -0.003303,         0.191910,         0.365397
1432814400.000,2015-05-28 12:00:00,        -0.003019,         0.192914,         0.357162
1432900800.000,2015-05-29 12:00:00,        -0.003190,         0.192434,         0.337632
1432987200.000,2015-05-30 12:00:00,        -0.003232,         0.193807,         0.359557
1433073600.000,2015-05-31 12:00:00,        -0.003021,         0.193220,         0.360997
1433160000.000,2015-06-01 12:00:00,        -0.001057,         0.195184,         0.354276
1433246400.000,2015-06-02 12:00:00,        -0.003827,         0.196245,         0.358499
1433332800.000,2015-06-03 12:00:00,        -0.000683,         0.194763,         0.357467
1433419200.000,2015-06-04 12:00:00,        -0.000286,         0.194800,         0.351252
1433505600.000,2015-06-05 12:00:00,         0.001949,         0.194208,         0.351062
1433592000.000,2015-06-06 12:00:00,         0.000914,         0.194866,         0.361048
1433678400.000,2015-06-07 12:00:00,         0.000191,         0.195434,         0.350802
1433764800.000,2015-06-08 12:00:00,         0.000590,         0.195784,         0.359224
1433851200.000,2015-06-09 12:00:00,         0.001849,         0.196955,         0.366474
1433937600.000,2015-06-10 12:00:00,         0.002002,         0.193829,         0.374195
1434024000.000,2015-06-11 12:00:00,         0.001695,         0.194729,         0.362628
1434110400.000,2015-06-12 12:00:00,         0.003261,         0.193443,         0.359027
1434196800.000,2015-06-13 12:00:00,         0.001866,         0.194057,         0.349415
1434283200.000,2015-06-14 12:00:00,         0.003269,         0.193411,         0.355142
1434369600.000,2015-06-15 12:00:00,         0.002059,         0.192887,         0.359137
1434456000.000,2015-06-16 12:00:00,        -0.000211,         0.195656,         0.372121
1434542400.000,2015-06-17 12:00:00,         0.004354,         0.194077,         0.351658
1434628800.000,2015-06-18 12:00:00,         0.006545,         0.196292,         0.348022
1434715200.000,2015-06-19 12:00:00,         0.006214,         0.194813,         0.371119
1434801600.000,2015-06-20 12:00:00,         0.005918,         0.192492,         0.371582
1434888000.000,2015-06-21 12:00:00,         0.004093,         0.191116,         0.360367
1434974400.000,2015-06-22 12:00:00,         0.004924,         0.192738,         0.361899
1435060800.000,2015-06-23 12:00:00,         0.004280,         0.192961,         0.364745
1435147200.000,2015-06-24 12:00:00,         0.004805,         0.194313,         0.358788
1435233600.000,2015-06-25 12:00:00,         0.005960,         0.193047,         0.365214
1435320000.000,2015-06-26 12:00:00,         0.004480,         0.194180,         0.362764
1435406400.000,2015-06-27 12:00:00,         0.001753,         0.193487,         0.349224
1435492800.000,2015-06-28 12:00:00,         0.007393,         0.191238,         0.356945
1435579200.000,2015-06-29 12:00:00,         0.007306,         0.191318,         0.372909
1435665600.000,2015-06-30 12:00:00,         0.008258,         0.192225,         0.367960
1435752000.000,2015-07-01 12:00:00,         0.007326,         0.191838,         0.367900
1435838400.000,2015-07-02 12:00:00,         0.010332,         0.191886,         0.370508
1435924800.000,2015-07-03 12:00:00,         0.008456,         0.190273,         0.358884
1436011200.000,2015-07-04 12:00:00,         0.011082,         0.188863,         0.364175
1436097600.000,2015-07-05 12:00:00,         0.010545,         0.188700,         0.365147
1436184000.000,2015-07-06 12:00:00,         0.011723,         0.189125,         0.364779
1436270400.000,2015-07-07 12:00:00,         0.008545,         0.188852,         0.376310
1436356800.000,2015-07-08 12:00:00,         0.011796,         0.191138,         0.366208
1436443200.000,2015-07-09 12:00:00,         0.013379,         0.190136,         0.366453
1436529600.000,2015-07-10 12:00:00,         0.012449,         0.190837,         0.370534
1436616000.000,2015-07-11 12:00:00,         0.010644,         0.188362,         0.363515
1436702400.000,2015-07-12 12:00:00,         0.008910,         0.188538,         0.366213
1436788800.000,2015-07-13 12:00:00,         0.010740,         0.191610,         0.368933
1436875200.000,2015-07-14 12:00:00,         0.009032,         0.189358,         0.364097
1436961600.000,2015-07-15 12:00:00,         0.015468,         0.190830,         0.379535
1437048000.000,2015-07-16 12:00:00,         0.011986,         0.188147,         0.377929
1437134400.000,2015-07-17 12:00:00,         0.009018,         0.186068,         0.386414
1437220800.000,2015-07-18 12:00:00,         0.012950,         0.188324,         0.366413
1437307200.000,2015-07-19 12:00:00,         0.010679,         0.183519,         0.384076
1437393600.000,2015-07-20 12:00:00,         0.012756,         0.184931,         0.387453
1437480000.000,2015-07-21 12:00:00,         0.013806,         0.189230,         0.367749
1437566400.000,2015-07-22 12:00:00,         0.012715,         0.189360,         0.362113
1437652800.000,2015-07-23 12:00:00,         0.011014,         0.190759,         0.367327
1437739200.000,2015-07-24 12:00:00,         0.014243,         0.189879,         0.364801
1437825600.000,2015-07-25 12:00:00,         0.011512,         0.186340,         0.373463
1437912000.000,2015-07-26 12:00:00,         0.013308,         0.188876,         0.370166
1437998400.000,2015-07-27 12:00:00,         0.014857,         0.188372,         0.370682
1438084800.000,2015-07-28 12:00:00,         0.014290,         0.187664,         0.362609
1438171200.000,2015-07-29 12:00:00,         0.015680,         0.189827,         0.368364
1438257600.000,2015-07-30 12:00:00,         0.014467,         0.187350,         0.367291
1438344000.000,2015-07-31 12:00:00,         0.020657,         0.189346,         0.375200
1438430400.000,2015-08-01 12:00:00,         0.017463,         0.185831,         0.381530
1438516800.000,2015-08-02 12:00:00,         0.016245,         0.186934,         0.385370
1438603200.000,2015-08-03 12:00:00,         0.015682,         0.181087,         0.386356
1438689600.000,2015-08-04 12:00:00,         0.018696,         0.187177,         0.383637
1438776000.000,2015-08-05 12:00:00,         0.016837,         0.188577,         0.363312
1438862400.000,2015-08-06 12:00:00,         0.016768,         0.186234,         0.376461
1438948800.000,2015-08-07 12:00:00,         0.018007,         0.187623,         0.360078
1439035200.000,2015-08-08 12:00:00,         0.017083,         0.187264,         0.379202
1439121600.000,2015-08-09 12:00:00,         0.019103,         0.187477,         0.380120
1439208000.000,2015-08-10 12:00:00,         0.019205,         0.188665,         0.368425
1439294400.000,2015-08-11 12:00:00,         0.017719,         0.186043,         0.369297
1439380800.000,2015-08-12 12:00:00,         0.020100,         0.195279,         0.388358
1439467200.000,2015-08-13 12:00:00,         0.020540,         0.185955,         0.377656
1439553600.000,2015-08-14 12:00:00,         0.015171,         0.182302,         0.371664
1439640000.000,2015-08-15 12:00:00,         0.017821,         0.185757,         0.367670
1439726400.000,2015-08-16 12:00:00,         0.016771,         0.185954,         0.365130
1439812800.000,2015-08-17 12:00:00,         0.018048,         0.183751,         0.380290
1439899200.000,2015-08-18 12:00:00,         0.016493,         0.181778,         0.388949
1439985600.000,2015-08-19 12:00:00,         0.022971,         0.182341,         0.369329
1440072000.000,2015-08-20 12:00:00,         0.016994,         0.183159,         0.368890
1440158400.000,2015-08-21 12:00:00,         0.018271,         0.186555,         0.360838
1440244800.000,2015-08-22 12:00:00,         0.018931,         0.187253,         0.373430
1440331200.000,2015-08-23 12:00:00,         0.019458,         0.184341,         0.368605
1440417600.000,2015-08-24 12:00:00,         0.018456,         0.186277,         0.380477
1440504000.000,2015-08-25 12:00:00,         0.022200,         0.183956,         0.370197
1440590400.000,2015-08-26 12:00:00,         0.021000,         0.183573,         0.367466
1440676800.000,2015-08-27 12:00:00,         0.019807,         0.188885,         0.368873
1440763200.000,2015-08-28 12:00:00,         0.018206,         0.183750,         0.375288
1440936000.000,2015-08-30 12:00:00,         0.017498,         0.188736,         0.394324
1441022400.000,2015-08-31 12:00:00,         0.019157,         0.178495,         0.361405
1441108800.000,2015-09-01 12:00:00,         0.019226,         0.181756,         0.362215
1441195200.000,2015-09-02 12:00:00,         0.021649,         0.185430,         0.364171
1441281600.000,2015-09-03 12:00:00,         0.019723,         0.183901,         0.364594
1441368000.000,2015-09-04 12:00:00,         0.023853,         0.180326,         0.354445
1441454400.000,2015-09-05 12:00:00,         0.023980,         0.182928,         0.376836
1441540800.000,2015-09-06 12:00:00,         0.023696,         0.183893,         0.379380
1441627200.000,2015-09-07 12:00:00,         0.021136,         0.184952,         0.372838
1441713600.000,2015-09-08 12:00:00,         0.020907,         0.182182,         0.364900
1441800000.000,2015-09-09 12:00:00,         0.020062,         0.178117,         0.379088
1441886400.000,2015-09-10 12:00:00,         0.021244,         0.179348,         0.356113
1441972800.000,2015-09-11 12:00:00,         0.020351,         0.181439,         0.376465
1442059200.000,2015-09-12 12:00:00,         0.021528,         0.183800,         0.376722
1442145600.000,2015-09-13 12:00:00,         0.023092,         0.179774,         0.409113
1442232000.000,2015-09-14 12:00:00,         0.022653,         0.182885,         0.399361
1442318400.000,2015-09-15 12:00:00,         0.023089,         0.181744,         0.359250
1442404800.000,2015-09-16 12:00:00,         0.020837,         0.180903,         0.381598
1442491200.000,2015-09-17 12:00:00,         0.021535,         0.180652,         0.373679
1442577600.000,2015-09-18 12:00:00,         0.023815,         0.183239,         0.365313
1442664000.000,2015-09-19 12:00:00,         0.019326,         0.180074,         0.385976
1442750400.000,2015-09-20 12:00:00,         0.023372,         0.180528,         0.358224
1442923200.000,2015-09-22 12:00:00,         0.023446,         0.181860,         0.369942
1443009600.000,2015-09-23 12:00:00,         0.022794,         0.184042,         0.376157
1443096000.000,2015-09-24 12:00:00,         0.024481,         0.180507,         0.373518
1443182400.000,2015-09-25 12:00:00,         0.024296,         0.179447,         0.372562
1443268800.000,2015-09-26 12:00:00,         0.025733,         0.175983,         0.372673
1443355200.000,2015-09-27 12:00:00,         0.016100,         0.175963,         0.393552
1443441600.000,2015-09-28 12:00:00,         0.026064,         0.179033,         0.384297
1443528000.000,2015-09-29 12:00:00,         0.024463,         0.181159,         0.393066
1443614400.000,2015-09-30 12:00:00,         0.025996,         0.178652,         0.371428
1443700800.000,2015-10-01 12:00:00,         0.022444,         0.180092,         0.365722
1443787200.000,2015-10-02 12:00:00,         0.022326,         0.179887,         0.382611
1443873600.000,2015-10-03 12:00:00,         0.022573,         0.179009,         0.383819
1443960000.000,2015-10-04 12:00:00,         0.023447,         0.181429,         0.380031
1444046400.000,2015-10-05 12:00:00,         0.024158,         0.181462,         0.378208
1444132800.000,2015-10-06 12:00:00,         0.022446,         0.178445,         0.382677
1444219200.000,2015-10-07 12:00:00,         0.020292,         0.177154,         0.388682
1444305600.000,2015-10-08 12:00:00,         0.024005,         0.180015,         0.382322
1444392000.000,2015-10-09 12:00:00,         0.022518,         0.179226,         0.371352
1444478400.000,2015-10-10 12:00:00,         0.021050,         0.177326,         0.376086
1444564800.000,2015-10-11 12:00:00,         0.024134,         0.176102,         0.370459
1444651200.000,2015-10-12 12:00:00,         0.024470,         0.180005,         0.364037
1444737600.000,2015-10-13 12:00:00,         0.021872,         0.179896,         0.371382
1444824000.000,2015-10-14 12:00:00,         0.027329,         0.181542,         0.379387
1444910400.000,2015-10-15 12:00:00,         0.024618,         0.178008,         0.357904
1444996800.000,2015-10-16 12:00:00,         0.030078,         0.171595,         0.362048
1445083200.000,2015-10-17 12:00:00,         0.028096,         0.168786,         0.364388
1445169600.000,2015-10-18 12:00:00,         0.030206,         0.170743,         0.355374
1445256000.000,2015-10-19 12:00:00,         0.031428,         0.171518,         0.368714
1445342400.000,2015-10-20 12:00:00,         0.030051,         0.168098,         0.368951
1445428800.000,2015-10-21 12:00:00,         0.032367,         0.170261,         0.366412
1445515200.000,2015-10-22 12:00:00,         0.027158,         0.170943,         0.384874
1445601600.000,2015-10-23 12:00:00,         0.029559,         0.166832,         0.376039
1445688000.000,2015-10-24 12:00:00,         0.035178,         0.171551,         0.368748
1445774400.000,2015-10-25 12:00:00,         0.029579,         0.167738,         0.374417
1445860800.000,2015-10-26 12:00:00,         0.033109,         0.167615,         0.358913
1445947200.000,2015-10-27 12:00:00,         0.031990,         0.169322,         0.383267
1446033600.000,2015-10-28 12:00:00,         0.029717,         0.167095,         0.373097
1446120000.000,2015-10-29 12:00:00,         0.030907,         0.169346,         0.368426
1446206400.000,2015-10-30 12:00:00,         0.029913,         0.169497,         0.374799
1446292800.000,2015-10-31 12:00:00,         0.030878,         0.169745,         0.372068
1446379200.000,2015-11-01 12:00:00,         0.030612,         0.169664,         0.367066
1446465600.000,2015-11-02 12:00:00,         0.032763,         0.168388,         0.363601
1446552000.000,2015-11-03 12:00:00,         0.032241,         0.169318,         0.372908
1446638400.000,2015-11-04 12:00:00,         0.031885,         0.168719,         0.382068
1446724800.000,2015-11-05 12:00:00,         0.030495,         0.168337,         0.377089
1446811200.000,2015-11-06 12:00:00,         0.031083,         0.165452,         0.374421
1446897600.000,2015-11-07 12:00:00,         0.032284,         0.166030,         0.371210
1446984000.000,2015-11-08 12:00:00,         0.030584,         0.166803,         0.366970
1447070400.000,2015-11-09 12:00:00,         0.032453,         0.168015,         0.392415
1447156800.000,2015-11-10 12:00:00,         0.031906,         0.169868,         0.376969
1447243200.000,2015-11-11 12:00:00,         0.030708,         0.165945,         0.403082
1447329600.000,2015-11-12 12:00:00,         0.036510,         0.164366,         0.378707
1447416000.000,2015-11-13 12:00:00,         0.031974,         0.164930,         0.367664
1447502400.000,2015-11-14 12:00:00,         0.032883,         0.165537,         0.370107
1447588800.000,2015-11-15 12:00:00,         0.031173,         0.163502,         0.380942
1447675200.000,2015-11-16 12:00:00,         0.036555,         0.165015,         0.370701
1447761600.000,2015-11-17 12:00:00,         0.035770,         0.166265,         0.371932
1447848000.000,2015-11-18 12:00:00,         0.030845,         0.165462,         0.390251
1447934400.000,2015-11-19 12:00:00,         0.030016,         0.162086,         0.382604
1448020800.000,2015-11-20 12:00:00,         0.033781,         0.165909,         0.376554
1448107200.000,2015-11-21 12:00:00,         0.034939,         0.165579,         0.376546
1448193600.000,2015-11-22 12:00:00,         0.035347,         0.165957,         0.371986
1448280000.000,2015-11-23 12:00:00,         0.036628,         0.161528,         0.369301
1448366400.000,2015-11-24 12:00:00,         0.036813,         0.164017,         0.370318
1448452800.000,2015-11-25 12:00:00,         0.037293,         0.164573,         0.381346
1448539200.000,2015-11-26 12:00:00,         0.036002,         0.163038,         0.387726
1448625600.000,2015-11-27 12:00:00,         0.034817,         0.162778,         0.369047
1448712000.000,2015-11-28 12:00:00,         0.039004,         0.167078,         0.370278
1448798400.000,2015-11-29 12:00:00,         0.036757,         0.167087,         0.373651
1448884800.000,2015-11-30 12:00:00,         0.034386,         0.164647,         0.381201
1448971200.000,2015-12-01 12:00:00,         0.038564,         0.162345,         0.370228
1449057600.000,2015-12-02 12:00:00,         0.038007,         0.162497,         0.364095
1449144000.000,2015-12-03 12:00:00,         0.037914,         0.165886,         0.378528
1449230400.000,2015-12-04 12:00:00,         0.035315,         0.164336,         0.377824
1449316800.000,2015-12-05 12:00:00,         0.036991,         0.163957,         0.372135
1449403200.000,2015-12-06 12:00:00,         0.036122,         0.161601,         0.373206
1449489600.000,2015-12-07 12:00:00,         0.036916,         0.163218,         0.372975
1449576000.000,2015-12-08 12:00:00,         0.037949,         0.161956,         0.368757
1449662400.000,2015-12-09 12:00:00,         0.036343,         0.161384,         0.372228
1449748800.000,2015-12-10 12:00:00,         0.040965,         0.162816,         0.384235
1449835200.000,2015-12-11 12:00:00,         0.040911,         0.164116,         0.385073
1449921600.000,2015-12-12 12:00:00,         0.040491,         0.162088,         0.374399
1450008000.000,2015-12-13 12:00:00,         0.040686,         0.161701,         0.367546
1450094400.000,2015-12-14 12:00:00,         0.040263,         0.162843,         0.377949
1450180800.000,2015-12-15 12:00:00,         0.038470,         0.162895,         0.377933
1450267200.000,2015-12-16 12:00:00,         0.040319,         0.159323,         0.380558
1450353600.000,2015-12-17 12:00:00,         0.040016,         0.160233,         0.386979
1450440000.000,2015-12-18 12:00:00,         0.037566,         0.158286,         0.385717
1450526400.000,2015-12-19 12:00:00,         0.039523,         0.157134,         0.372402
1450612800.000,2015-12-20 12:00:00,         0.035463,         0.156807,         0.378245
1450699200.000,2015-12-21 12:00:00,         0.038159,         0.161752,         0.379646
1450785600.000,2015-12-22 12:00:00,         0.043018,         0.161445,         0.390850
1450872000.000,2015-12-23 12:00:00,         0.039291,         0.161597,         0.391503
1450958400.000,2015-12-24 12:00:00,         0.042477,         0.160731,         0.378851
1451044800.000,2015-12-25 12:00:00,         0.037954,         0.160543,         0.375359
1451131200.000,2015-12-26 12:00:00,         0.039833,         0.157831,         0.393458
1451217600.000,2015-12-27 12:00:00,         0.044957,         0.159139,         0.392739
1451304000.000,2015-12-28 12:00:00,         0.041108,         0.156823,         0.398218
1451390400.000,2015-12-29 12:00:00,         0.044853,         0.159319,         0.382447
1451476800.000,2015-12-30 12:00:00,         0.042341,         0.158314,         0.393031
1451649600.000,2016-01-01 12:00:00,         0.044375,         0.158665,         0.385881
1451736000.000,2016-01-02 12:00:00,         0.043787,         0.155372,         0.380852
1451822400.000,2016-01-03 12:00:00,         0.043968,         0.158626,         0.381411
1451908800.000,2016-01-04 12:00:00,         0.045895,         0.158494,         0.386369
1451995200.000,2016-01-05 12:00:00,         0.045616,         0.157122,         0.390788
1452081600.000,2016-01-06 12:00:00,         0.045779,         0.157736,         0.390794
1452168000.000,2016-01-07 12:00:00,         0.045507,         0.157541,         0.375890
1452254400.000,2016-01-08 12:00:00,         0.047036,         0.156842,         0.371893
1452340800.000,2016-01-09 12:00:00,         0.047668,         0.155250,         0.384400
1452427200.000,2016-01-10 12:00:00,         0.048038,         0.155644,         0.380894
1452513600.000,2016-01-11 12:00:00,         0.047894,         0.155769,         0.375266
1452600000.000,2016-01-12 12:00:00,         0.047268,         0.156546,         0.384986
1452686400.000,2016-01-13 12:00:00,         0.047538,         0.155119,         0.382899
1452772800.000,2016-01-14 12:00:00,         0.047733,         0.154354,         0.382929
1452859200.000,2016-01-15 12:00:00,         0.049376,         0.156916,         0.383245
1452945600.000,2016-01-16 12:00:00,         0.047654,         0.156825,         0.380646
1453032000.000,2016-01-17 12:00:00,         0.050402,         0.155534,         0.389086
1453118400.000,2016-01-18 12:00:00,         0.051257,         0.156064,         0.380938
1453204800.000,2016-01-19 12:00:00,         0.049883,         0.154009,         0.381283
1453291200.000,2016-01-20 12:00:00,         0.051329,         0.153921,         0.382049
1453377600.000,2016-01-21 12:00:00,         0.049865,         0.153332,         0.380012
1453464000.000,2016-01-22 12:00:00,         0.049040,         0.155850,         0.385301
1453550400.000,2016-01-23 12:00:00,         0.050530,         0.154375,         0.378197
1453636800.000,2016-01-24 12:00:00,         0.049570,         0.153039,         0.378475
1453723200.000,2016-01-25 12:00:00,         0.052163,         0.155601,         0.381921
1453809600.000,2016-01-26 12:00:00,         0.051609,         0.153636,         0.384971
1453896000.000,2016-01-27 12:00:00,         0.050024,         0.152190,         0.383321
1453982400.000,2016-01-28 12:00:00,         0.049638,         0.152558,         0.384023
1454068800.000,2016-01-29 12:00:00,         0.051466,         0.152751,         0.382457
1454155200.000,2016-01-30 12:00:00,         0.050560,         0.150815,         0.376330
1454241600.000,2016-01-31 12:00:00,         0.050897,         0.152946,         0.384698
1454414400.000,2016-02-02 12:00:00,         0.053471,         0.153795,         0.383476
1454500800.000,2016-02-03 12:00:00,         0.052780,         0.151910,         0.375064
1454587200.000,2016-02-04 12:00:00,         0.055120,         0.150705,         0.382831
1454673600.000,2016-02-05 12:00:00,         0.055860,         0.151178,         0.383311
1454760000.000,2016-02-06 12:00:00,         0.050893,         0.151290,         0.387916
1454846400.000,2016-02-07 12:00:00,         0.054096,         0.149982,         0.393322
1454932800.000,2016-02-08 12:00:00,         0.053166,         0.149457,         0.387552
1455019200.000,2016-02-09 12:00:00,         0.053839,         0.149911,         0.378872
1455105600.000,2016-02-10 12:00:00,         0.053941,         0.149146,         0.381265
1455192000.000,2016-02-11 12:00:00,         0.053247,         0.150362,         0.384781
1455278400.000,2016-02-12 12:00:00,         0.053035,         0.149067,         0.381416
1455364800.000,2016-02-13 12:00:00,         0.055124,         0.149872,         0.388053
1455451200.000,2016-02-14 12:00:00,         0.056107,         0.150254,         0.382055
1455537600.000,2016-02-15 12:00:00,         0.056427,         0.151315,         0.382078
1455624000.000,2016-02-16 12:00:00,         0.056389,         0.146586,         0.398417
1455710400.000,2016-02-17 12:00:00,         0.058611,         0.148882,         0.384283
1455796800.000,2016-02-18 12:00:00,         0.059347,         0.149119,         0.399363
1455883200.000,2016-02-19 12:00:00,         0.057279,         0.148401,         0.382796
1455969600.000,2016-02-20 12:00:00,         0.054823,         0.150979,         0.380953
1456056000.000,2016-02-21 12:00:00,         0.055249,         0.151284,         0.396219
1456142400.000,2016-02-22 12:00:00,         0.054721,         0.150782,         0.384656
1456228800.000,2016-02-23 12:00:00,         0.055951,         0.147986,         0.378628
1456315200.000,2016-02-24 12:00:00,         0.055334,         0.151011,         0.377424
1456401600.000,2016-02-25 12:00:00,         0.056718,         0.149366,         0.383070
1456488000.000,2016-02-26 12:00:00,         0.056881,         0.147399,         0.395099
1456574400.000,2016-02-27 12:00:00,         0.058568,         0.149607,         0.393311
1456660800.000,2016-02-28 12:00:00,         0.058732,         0.147537,         0.386715
1456747200.000,2016-02-29 12:00:00,         0.058633,         0.146709,         0.385562
1456833600.000,2016-03-01 12:00:00,         0.057647,         0.145995,         0.377644
1456920000.000,2016-03-02 12:00:00,         0.058476,         0.146181,         0.408191
1457006400.000,2016-03-03 12:00:00,         0.059483,         0.146186,         0.393525
1457092800.000,2016-03-04 12:00:00,         0.063549,         0.145547,         0.394734
1457179200.000,2016-03-05 12:00:00,         0.062193,         0.145936,         0.394612
1457265600.000,2016-03-06 12:00:00,         0.059714,         0.145185,         0.388291
1457352000.000,2016-03-07 12:00:00,         0.061191,         0.144389,         0.376628
1457438400.000,2016-03-08 12:00:00,         0.061807,         0.145079,         0.395061
1457524800.000,2016-03-09 12:00:00,         0.062397,         0.144531,         0.401944
1457611200.000,2016-03-10 12:00:00,         0.064794,         0.144141,         0.399396
1457697600.000,2016-03-11 12:00:00,         0.063517,         0.143728,         0.394753
1457784000.000,2016-03-12 12:00:00,         0.063152,         0.143720,         0.394949
1457870400.000,2016-03-13 12:00:00,         0.063541,         0.143616,         0.388988
1457956800.000,2016-03-14 12:00:00,         0.064159,         0.145335,         0.389196
1458043200.000,2016-03-15 12:00:00,         0.065255,         0.146893,         0.386854
1458129600.000,2016-03-16 12:00:00,         0.065389,         0.145498,         0.389204
1458216000.000,2016-03-17 12:00:00,         0.064808,         0.142246,         0.405728
1458302400.000,2016-03-18 12:00:00,         0.063599,         0.140422,         0.406854
1458388800.000,2016-03-19 12:00:00,         0.064453,         0.144343,         0.392712
1458475200.000,2016-03-20 12:00:00,         0.067217,         0.149252,         0.388927
1458561600.000,2016-03-21 12:00:00,         0.065214,         0.143294,         0.390298
1458648000.000,2016-03-22 12:00:00,         0.064617,         0.142443,         0.387675
1458734400.000,2016-03-23 12:00:00,         0.064545,         0.147001,         0.399083
1458820800.000,2016-03-24 12:00:00,         0.067196,         0.143141,         0.391868
1458907200.000,2016-03-25 12:00:00,         0.065507,         0.144514,         0.378547
1458993600.000,2016-03-26 12:00:00,         0.064807,         0.142600,         0.393960
1459080000.000,2016-03-27 12:00:00,         0.069675,         0.145007,         0.402377
1459166400.000,2016-03-28 12:00:00,         0.068684,         0.142643,         0.401893
1459252800.000,2016-03-29 12:00:00,         0.068718,         0.144577,         0.387003
1459339200.000,2016-03-30 12:00:00,         0.066454,         0.144307,         0.391299
1459425600.000,2016-03-31 12:00:00,         0.067597,         0.142281,         0.397073
1459512000.000,2016-04-01 12:00:00,         0.068702,         0.143228,         0.391322
1459598400.000,2016-04-02 12:00:00,         0.069708,         0.139281,         0.384193
1459684800.000,2016-04-03 12:00:00,         0.066761,         0.138389,         0.395108
1459771200.000,2016-04-04 12:00:00,         0.067991,         0.141389,         0.396104
1459857600.000,2016-04-05 12:00:00,         0.068942,         0.140560,         0.399741
1459944000.000,2016-04-06 12:00:00,         0.071355,         0.144377,         0.400958
1460030400.000,2016-04-07 12:00:00,         0.069266,         0.142291,         0.376937
1460116800.000,2016-04-08 12:00:00,         0.068981,         0.141074,         0.390674
1460203200.000,2016-04-09 12:00:00,         0.071190,         0.144540,         0.375718
1460289600.000,2016-04-10 12:00:00,         0.069481,         0.141900,         0.383228
1460376000.000,2016-04-11 12:00:00,         0.068504,         0.141922,         0.391681
1460462400.000,2016-04-12 12:00:00,         0.067409,         0.138207,         0.378530
1460548800.000,2016-04-13 12:00:00,         0.069417,         0.142085,         0.381728
1460635200.000,2016-04-14 12:00:00,         0.067059,         0.139839,         0.392931
1460721600.000,2016-04-15 12:00:00,         0.069488,         0.140650,         0.397333
1460808000.000,2016-04-16 12:00:00,         0.072398,         0.143099,         0.394245
1460894400.000,2016-04-17 12:00:00,         0.070891,         0.140343,         0.392384
1460980800.000,2016-04-18 12:00:00,         0.069233,         0.144207,         0.406988
1461067200.000,2016-04-19 12:00:00,         0.071135,         0.140748,         0.392531
1461153600.000,2016-04-20 12:00:00,         0.069903,         0.140750,         0.382598
1461240000.000,2016-04-21 12:00:00,         0.070073,         0.140634,         0.396948
1461326400.000,2016-04-22 12:00:00,         0.073166,         0.141373,         0.390387
1461412800.000,2016-04-23 12:00:00,         0.073537,         0.143651,         0.395149
1461499200.000,2016-04-24 12:00:00,         0.073045,         0.138692,         0.393693
1461585600.000,2016-04-25 12:00:00,         0.072854,         0.139618,         0.392955
1461672000.000,2016-04-26 12:00:00,         0.071212,         0.138876,         0.397305
1461758400.000,2016-04-27 12:00:00,         0.071613,         0.138157,         0.395985
1461844800.000,2016-04-28 12:00:00,         0.069443,         0.137355,         0.407690
1461931200.000,2016-04-29 12:00:00,         0.074297,         0.138944,         0.400458
1462017600.000,2016-04-30 12:00:00,         0.076113,         0.139522,         0.391887
1462104000.000,2016-05-01 12:00:00,         0.074100,         0.136528,         0.390950
1462190400.000,2016-05-02 12:00:00,         0.078772,         0.138482,         0.395135
1462276800.000,2016-05-03 12:00:00,         0.076032,         0.138037,         0.394242
